,plate,mjd,fiberid,class,subclass,z,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,h_alpha_eqw,nii_6584_eqw
0,266,51602,201,b'GALAXY',b'',0.1473004,1548.974,424.3076,1680.568,228.5038,-417.1741,-61.57373
1,266,51602,323,b'GALAXY',b'STARBURST',0.08886714,427.0232,100.0125,66.02779,99.72473,-54.0773,-12.98159
2,266,51602,401,b'GALAXY',b'STARBURST',0.05157993,3334.863,953.7944,2399.147,441.7446,-197.8817,-26.18473
3,267,51608,245,b'GALAXY',b'STARFORMING',0.01946783,60.90096,15.58486,21.52299,16.08556,-21.23338,-5.745538
4,268,51633,1,b'GALAXY',b'STARBURST',0.06874236,878.3365,256.4054,610.9689,114.4482,-147.2442,-19.04931
5,268,51633,339,b'GALAXY',b'STARFORMING',0.01258756,133.7393,48.11544,125.7147,7.796614,-27.61075,-2.412756
6,268,51633,412,b'GALAXY',b'STARFORMING',0.06605762,74.05566,22.87721,16.71365,41.5078,-5.471143,-3.028596
7,268,51633,472,b'GALAXY',b'STARFORMING',0.06499501,666.8866,149.9444,32.18747,286.4166,-36.90224,-15.4919
8,268,51633,586,b'GALAXY',b'STARFORMING',0.04001235,139.3271,37.92846,27.98774,39.51387,-16.68458,-4.327237
9,268,51633,587,b'GALAXY',b'STARFORMING',0.04627055,166.8309,39.89712,9.594817,50.62418,-26.61001,-8.49121
10,269,51910,380,b'GALAXY',b'STARBURST',0.1333117,707.756,193.0666,296.3896,111.982,-77.6831,-12.72009
11,270,51909,253,b'GALAXY',b'STARBURST',0.1170835,1276.945,193.6312,101.8531,555.0167,-91.06149,-38.56323
12,270,51909,356,b'GALAXY',b'STARFORMING',0.1763657,359.8556,75.27764,40.10643,194.779,-27.64161,-14.35499
13,270,51909,464,b'GALAXY',b'STARFORMING',0.09017465,228.9653,38.52014,16.26414,98.39067,-19.53261,-8.383538
14,270,51909,563,b'GALAXY',b'STARFORMING',0.1046545,397.513,108.3532,83.77141,101.7384,-45.32031,-10.93762
15,271,51883,213,b'GALAXY',b'STARFORMING',0.04417122,221.2297,66.58456,25.27775,69.42178,-24.32699,-7.59432
16,271,51883,220,b'GALAXY',b'STARBURST',0.1720573,547.5474,78.85338,28.14173,238.3786,-53.39648,-22.90256
17,271,51883,304,b'GALAXY',b'',0.0626008,36.1058,9.897922,20.41326,16.88344,-3.399599,-1.361552
18,271,51883,353,b'GALAXY',b'STARFORMING',0.09473247,263.4732,65.2823,22.17852,78.73569,-32.42502,-9.53277
19,271,51883,543,b'GALAXY',b'STARFORMING',0.09665108,293.0241,75.13208,26.80261,133.6384,-18.31081,-8.266099
20,272,51941,17,b'GALAXY',b'STARFORMING',0.1269418,179.7695,36.45705,16.03714,72.00704,-15.68464,-6.424781
21,272,51941,37,b'GALAXY',b'AGN',0.1831185,160.3141,32.31355,98.70788,160.1631,-11.15851,-9.848481
22,272,51941,551,b'GALAXY',b'STARBURST',0.09801202,222.8126,60.06776,16.01442,78.56626,-29.9374,-10.83897
23,273,51957,170,b'GALAXY',b'STARFORMING',0.05050373,403.6462,79.20525,44.95899,170.132,-11.78543,-4.964257
24,273,51957,221,b'GALAXY',b'STARBURST',0.1073524,318.0312,91.79651,78.28992,82.21493,-43.97306,-11.44913
25,274,51913,116,b'GALAXY',b'STARBURST',0.0615075,416.9684,111.9039,142.637,75.62583,-50.32689,-9.294117
26,274,51913,176,b'GALAXY',b'STARBURST',0.09528587,393.1623,112.0035,169.4951,63.77286,-88.747,-13.98009
27,274,51913,221,b'GALAXY',b'STARBURST',0.1236402,716.1961,145.5804,36.95411,268.6407,-55.38765,-20.82953
28,274,51913,276,b'GALAXY',b'AGN',0.09629866,68.23878,17.30387,68.47668,58.16194,-3.616389,-2.845618
29,274,51913,318,b'GALAXY',b'STARFORMING',0.06510382,650.3469,134.0119,29.9411,265.6059,-30.14122,-12.31399
30,274,51913,635,b'GALAXY',b'',0.09914839,156.1769,33.85804,11.76848,70.12123,-10.95075,-7.483431
31,275,51910,63,b'GALAXY',b'STARBURST',0.07369011,315.7848,79.69812,64.78653,74.98431,-46.31739,-10.79225
32,275,51910,95,b'GALAXY',b'STARFORMING',0.03781608,169.2585,51.72771,84.53747,23.97222,-24.86991,-3.331903
33,275,51910,101,b'GALAXY',b'STARFORMING',0.08143172,196.6559,41.24067,22.26672,102.4879,-25.95309,-13.2295
34,275,51910,201,b'GALAXY',b'STARFORMING BROADLINE',0.08454167,343.1675,66.3017,33.64251,247.8399,-9.472325,-6.645609
35,275,51910,254,b'GALAXY',b'STARBURST',0.03971817,836.8882,204.0573,36.76651,313.6341,-48.42696,-18.39786
36,275,51910,293,b'GALAXY',b'STARFORMING',0.1325367,208.9123,58.83194,24.96494,80.22031,-25.05564,-9.716736
37,275,51910,455,b'GALAXY',b'STARFORMING',0.1240166,310.4195,89.09423,34.65957,114.5673,-39.42793,-12.40627
38,275,51910,508,b'GALAXY',b'STARFORMING',0.07237988,163.1605,47.8123,18.33237,70.98491,-9.819174,-4.244295
39,276,51909,185,b'GALAXY',b'STARFORMING',0.02149814,419.37,108.6634,265.1246,48.37356,-39.86792,-4.872665
40,276,51909,391,b'GALAXY',b'STARFORMING',0.04103274,108.1639,26.88336,11.79539,30.67172,-16.58823,-5.207346
41,276,51909,542,b'GALAXY',b'STARBURST',0.0404985,778.0914,246.9893,709.8614,81.71263,-70.05837,-7.247009
42,276,51909,574,b'GALAXY',b'STARFORMING',0.05430352,216.3756,52.91023,33.44044,64.51249,-23.85974,-6.678233
43,276,51909,587,b'GALAXY',b'STARFORMING',0.03953943,185.4875,53.72086,85.52585,32.7346,-22.97963,-4.041481
44,276,51909,616,b'GALAXY',b'STARFORMING',0.09286904,98.90117,28.22062,13.85282,52.76223,-4.64632,-2.381525
45,277,51908,50,b'GALAXY',b'STARFORMING',0.0334835,460.9021,113.265,19.21168,155.0727,-30.69093,-10.38609
46,277,51908,129,b'GALAXY',b'STARBURST',0.157814,344.3152,71.31247,41.92619,104.6195,-47.07861,-13.94651
47,277,51908,182,b'GALAXY',b'STARFORMING',0.069855,450.076,119.7861,55.9781,182.0093,-30.90763,-12.73086
48,277,51908,266,b'GALAXY',b'STARFORMING',0.1257583,213.5928,41.5176,14.16235,66.45329,-18.73968,-5.749383
49,277,51908,392,b'GALAXY',b'STARBURST',0.0499925,92.61082,26.1361,17.9477,19.3344,-23.92709,-4.705981
50,277,51908,408,b'GALAXY',b'STARFORMING',0.1506296,375.0745,65.14471,23.96797,142.7839,-26.39671,-10.15575
51,277,51908,500,b'GALAXY',b'STARFORMING',0.1117286,122.5289,28.67688,18.09927,71.58304,-6.075634,-3.540711
52,278,51900,198,b'GALAXY',b'AGN',0.06551905,166.8302,29.63984,26.17099,89.68963,-7.181806,-4.111504
53,278,51900,462,b'GALAXY',b'STARFORMING',0.02485563,633.0052,177.0401,140.6536,285.5137,-6.848454,-3.116663
54,279,51984,193,b'GALAXY',b'STARBURST',0.02768295,107.3111,39.4111,63.67599,10.70202,-32.09152,-3.334625
55,279,51608,199,b'GALAXY',b'STARFORMING',0.09845041,264.1567,66.3398,23.07442,97.63467,-27.80336,-10.19717
56,279,51608,217,b'GALAXY',b'STARFORMING',0.07879979,145.5118,37.18495,13.22627,64.35406,-14.74713,-6.543186
57,279,51984,307,b'GALAXY',b'STARFORMING',0.1014277,244.7376,70.34492,61.26222,88.24672,-29.53617,-11.89283
58,279,51984,415,b'GALAXY',b'',0.07685738,35.0241,10.61059,20.64977,37.24786,-4.266037,-4.52151
59,279,51984,477,b'GALAXY',b'STARBURST',0.03890612,324.923,97.74961,71.79507,87.93719,-40.12329,-10.58703
60,279,51984,608,b'GALAXY',b'BROADLINE',0.03987979,113.8821,38.12704,72.84413,140.8394,-1.674436,-1.743935
61,280,51612,187,b'GALAXY',b'AGN',0.1004738,140.1163,36.31486,291.3699,88.65258,-8.221584,-5.582764
62,280,51612,192,b'GALAXY',b'STARBURST',0.09905367,2612.803,892.673,4734.78,102.485,-302.6082,-13.83675
63,280,51612,282,b'GALAXY',b'STARFORMING',0.05837996,301.6282,83.95226,94.73071,59.60994,-37.14098,-7.056699
64,280,51612,538,b'GALAXY',b'STARFORMING',0.09833132,154.1338,36.40092,9.760061,65.6413,-13.13303,-5.701716
65,280,51612,577,b'GALAXY',b'STARFORMING',0.1003641,154.6146,29.12659,10.50371,55.54377,-15.4459,-5.267464
66,281,51614,141,b'GALAXY',b'STARFORMING',0.1048234,217.2501,51.02298,17.93982,86.1578,-21.65001,-8.266261
67,281,51614,562,b'QSO',b'STARBURST BROADLINE',0.1325774,702.6196,201.8307,1707.763,384.2435,-19.24385,-11.28335
68,281,51614,567,b'GALAXY',b'STARFORMING',0.05845807,162.7554,47.14691,25.67246,48.99546,-23.44566,-7.298816
69,282,51658,97,b'GALAXY',b'STARFORMING',0.04642929,139.2573,39.68949,17.59698,45.66195,-20.46876,-5.423361
70,282,51658,106,b'GALAXY',b'STARFORMING',0.07642176,155.2379,42.48298,24.474,41.7939,-24.81763,-7.148874
71,282,51630,165,b'GALAXY',b'STARFORMING',0.06519338,75.64883,15.02051,11.08698,21.55187,-13.74427,-3.504295
72,282,51630,167,b'GALAXY',b'AGN',0.13224,437.975,97.33544,146.3494,351.42,-18.7335,-14.77203
73,282,51658,283,b'GALAXY',b'STARFORMING',0.07770094,267.2882,59.07181,15.24984,99.79796,-22.71817,-8.334191
74,282,51658,332,b'GALAXY',b'AGN',0.1042957,132.7812,38.80044,211.8769,127.4407,-12.75833,-11.00845
75,282,51630,578,b'GALAXY',b'STARFORMING',0.1071092,461.0563,80.53654,32.65988,176.5525,-34.64917,-12.68712
76,282,51630,584,b'GALAXY',b'STARFORMING',0.09354182,189.3453,44.64157,19.74952,64.00722,-23.81735,-7.92106
77,283,51959,128,b'GALAXY',b'STARBURST',0.06886408,442.5144,106.3302,69.93301,133.2758,-55.10712,-16.42707
78,283,51959,559,b'GALAXY',b'STARFORMING',0.1062639,239.2995,63.06319,40.3899,118.582,-17.98032,-9.973012
79,284,51662,90,b'GALAXY',b'STARFORMING',0.1346726,208.8576,55.41109,24.21647,58.38853,-25.05429,-6.674198
80,284,51943,173,b'GALAXY',b'STARFORMING',0.02638165,86.54099,34.76387,49.54523,11.39666,-26.12855,-2.869317
81,284,51943,212,b'GALAXY',b'STARFORMING',0.1074959,173.794,44.8129,17.43227,94.4978,-12.67922,-6.662329
82,284,51943,218,b'GALAXY',b'STARFORMING',0.08199915,248.0966,60.24132,14.62114,114.5747,-16.88253,-7.752803
83,284,51943,304,b'GALAXY',b'STARFORMING',0.1347499,90.34917,20.66983,34.78325,51.04293,-7.003651,-4.053531
84,284,51943,331,b'GALAXY',b'STARFORMING',0.1328388,161.9624,40.52097,28.11086,41.84682,-43.53357,-7.891775
85,284,51943,408,b'GALAXY',b'STARBURST',0.04681119,1175.577,354.7155,1194.687,98.07726,-115.7133,-9.871481
86,284,51662,450,b'GALAXY',b'STARFORMING',0.07718617,109.5319,24.44184,15.30745,43.93562,-18.16981,-7.229508
87,284,51662,523,b'GALAXY',b'STARBURST',0.09444427,734.1335,130.6171,65.02459,318.2702,-43.00961,-18.91187
88,285,51930,69,b'GALAXY',b'STARFORMING',0.01960378,37.04386,13.7807,9.439307,7.671477,-12.3725,-2.12882
89,285,51930,212,b'GALAXY',b'STARFORMING',0.1294345,108.7651,24.17328,32.10554,61.88798,-9.279162,-5.154752
90,285,51663,295,b'GALAXY',b'STARBURST',0.0857451,974.0632,266.1219,684.6704,369.6789,-71.70277,-26.51882
91,285,51930,481,b'GALAXY',b'',0.1029183,105.6982,26.89304,28.31411,114.1651,-4.714689,-4.927072
92,285,51663,483,b'GALAXY',b'STARFORMING',0.07844527,207.8791,56.03764,49.74701,46.84123,-30.52459,-7.213775
93,285,51930,486,b'GALAXY',b'STARFORMING',0.1080196,154.4589,28.09074,9.044662,62.2779,-25.46017,-8.090036
94,285,51663,504,b'GALAXY',b'AGN',0.1241351,222.6343,52.44584,163.7873,178.8506,-16.03491,-12.71936
95,285,51663,584,b'GALAXY',b'AGN',0.06206117,288.3326,65.78712,152.9208,209.2635,-7.916741,-5.766832
96,286,51999,147,b'GALAXY',b'',0.09423247,85.50239,15.4739,15.00317,59.25623,-7.571819,-5.029861
97,286,51999,405,b'GALAXY',b'STARFORMING',0.08260839,168.9921,44.16611,54.48211,51.06177,-28.92423,-8.561241
98,287,52023,46,b'GALAXY',b'STARFORMING',0.0795421,87.65972,21.02796,8.82316,30.60805,-11.2019,-4.062237
99,287,52023,497,b'GALAXY',b'STARFORMING',0.02097693,71.52011,22.74511,33.83376,9.35469,-15.30852,-1.921949
100,287,52023,567,b'GALAXY',b'STARFORMING',0.09969272,78.88706,23.3775,19.11347,32.14448,-4.926963,-0.4658451
101,287,52023,608,b'GALAXY',b'STARFORMING',0.04802909,296.3385,66.3496,47.03877,151.2101,-11.11759,-5.632144
102,287,52023,635,b'GALAXY',b'STARBURST',0.07275175,431.6008,107.3584,60.11132,120.0655,-45.46479,-12.93107
103,288,52000,192,b'GALAXY',b'STARBURST',0.1234127,656.3,134.3174,23.63193,281.909,-41.57421,-18.04631
104,288,52000,246,b'GALAXY',b'STARFORMING',0.03975241,67.97824,16.9867,8.881737,24.08722,-12.22297,-4.348338
105,289,51990,384,b'GALAXY',b'',0.1148574,224.4372,51.64162,17.28529,71.88736,-21.76144,-6.859743
106,289,51990,639,b'GALAXY',b'STARBURST',0.04366594,871.7797,168.9522,226.3723,177.7617,-89.2607,-18.15372
107,290,51941,33,b'GALAXY',b'STARFORMING',0.08114978,90.27568,18.65412,10.65717,26.09365,-18.8091,-5.398671
108,290,51941,253,b'GALAXY',b'STARFORMING',0.07773563,267.4243,60.11514,46.09715,149.1927,-9.585204,-5.440333
109,290,51941,345,b'GALAXY',b'STARFORMING',0.0433136,682.0596,183.946,109.923,192.1888,-32.18626,-8.546818
110,290,51941,350,b'GALAXY',b'STARBURST',0.005192863,286.3067,102.578,188.8063,30.02614,-125.1488,-13.30452
111,290,51941,391,b'GALAXY',b'STARFORMING',0.09126364,1498.653,286.9133,57.01939,617.2693,-40.47005,-16.58239
112,291,51928,13,b'GALAXY',b'',0.08205003,36.93616,11.37762,12.62401,33.11967,-1.867292,-1.612907
113,291,51928,74,b'GALAXY',b'AGN',0.08264649,131.8235,19.57739,22.06858,113.7954,-3.667949,-3.103935
114,291,51660,173,b'GALAXY',b'STARFORMING',0.08233529,82.56902,22.0491,13.36064,32.7137,-6.883565,-2.54681
115,291,51660,224,b'GALAXY',b'',0.1478685,241.8151,68.1331,16.02341,95.44346,-20.20206,-7.416154
116,291,51928,228,b'GALAXY',b'STARFORMING',0.1478117,241.0195,44.54073,16.6581,99.72955,-18.61337,-7.86202
117,291,51928,329,b'GALAXY',b'STARFORMING',0.01595755,154.9385,43.99753,17.3332,60.26525,-7.771295,-2.884622
118,291,51928,479,b'GALAXY',b'STARFORMING',0.09066956,310.06,50.28781,21.28048,115.499,-15.57732,-5.765489
119,291,51928,524,b'GALAXY',b'STARBURST',0.08500534,314.7294,85.08774,23.41959,102.7359,-42.15321,-13.53647
120,291,51928,562,b'GALAXY',b'STARFORMING',0.06554592,53.33519,16.44535,12.53696,11.60458,-12.64166,-2.54794
121,294,51986,127,b'GALAXY',b'STARFORMING',0.01865457,260.9524,64.21739,16.94653,90.94263,-10.89944,-3.806159
122,294,51986,252,b'GALAXY',b'STARBURST',0.08290607,159.9617,45.95032,22.45076,51.47131,-29.11635,-9.689882
123,295,51985,26,b'GALAXY',b'STARFORMING',0.03234835,275.6874,82.43867,67.18649,62.14655,-30.77906,-7.188759
124,295,51985,155,b'GALAXY',b'STARFORMING',0.03855666,141.638,43.19043,55.69275,24.09072,-26.60216,-4.921354
125,295,51985,229,b'GALAXY',b'STARFORMING',0.0831333,179.971,54.98117,68.16473,33.68607,-32.93958,-6.142362
126,295,51985,361,b'GALAXY',b'STARFORMING',0.08110743,132.6671,26.48498,14.90211,63.99238,-7.742054,-3.731657
127,295,51985,407,b'GALAXY',b'STARBURST',0.05361082,322.6031,106.9224,249.5974,34.00783,-70.74327,-7.374866
128,296,51984,112,b'GALAXY',b'STARFORMING',0.07574287,483.5641,127.0412,72.84366,147.2811,-34.42709,-10.73669
129,296,51665,190,b'GALAXY',b'STARFORMING',0.08547761,170.3001,40.14218,12.94851,52.97181,-20.49243,-6.499774
130,296,51984,322,b'GALAXY',b'AGN',0.1384645,252.1743,53.45807,154.4737,136.3403,-19.41539,-10.33278
131,296,51984,360,b'GALAXY',b'STARFORMING',0.1097672,197.6716,50.33543,21.52905,65.6775,-30.07611,-8.941009
132,296,51665,367,b'GALAXY',b'STARFORMING',0.03108938,134.9116,42.90173,48.9162,28.28276,-11.61431,-1.871526
133,296,51665,458,b'GALAXY',b'STARFORMING',0.138943,304.2033,65.71327,24.17999,132.6286,-20.1937,-9.028085
134,296,51665,531,b'GALAXY',b'',0.06721578,83.01892,17.31652,13.28158,55.0153,-8.823264,-6.126144
135,297,51959,13,b'GALAXY',b'STARFORMING',0.08462927,155.4596,46.92719,33.48589,39.22569,-23.25055,-5.673769
136,297,51663,101,b'GALAXY',b'STARFORMING',0.01732753,680.2413,135.2129,35.11109,265.1486,-13.79403,-5.370177
137,297,51663,159,b'GALAXY',b'STARBURST',0.1419793,415.8084,91.40211,37.41964,155.0221,-70.08583,-26.11874
138,297,51663,178,b'GALAXY',b'STARFORMING',0.07770651,174.4078,46.9598,21.51568,49.94836,-21.2031,-6.142666
139,297,51959,203,b'GALAXY',b'STARFORMING',0.08617965,339.9848,78.70499,23.18547,165.5994,-18.59256,-8.979424
140,297,51959,435,b'GALAXY',b'STARFORMING',0.1101965,135.9951,24.16837,11.27712,59.60506,-17.41288,-7.472604
141,297,51959,452,b'GALAXY',b'STARFORMING',0.0842166,239.0484,55.04045,78.75027,146.1485,-15.03094,-9.099748
142,297,51959,606,b'GALAXY',b'STARFORMING',0.0775668,145.3262,34.52818,12.81408,47.1898,-19.98113,-6.718993
143,298,51955,70,b'GALAXY',b'STARFORMING',0.1669027,149.2036,31.63702,14.98689,49.67238,-23.00277,-7.647829
144,298,51955,72,b'GALAXY',b'STARFORMING',0.06156222,128.7561,36.14729,32.6343,86.52802,-5.667568,-3.728354
145,298,51955,113,b'GALAXY',b'STARFORMING',0.08710022,260.155,74.37253,35.22395,70.08355,-34.99912,-8.652163
146,298,51955,190,b'GALAXY',b'STARBURST',0.03440157,284.7762,94.07487,233.1602,24.66054,-59.77465,-6.300521
147,299,51671,62,b'GALAXY',b'STARBURST',0.1255008,449.0101,62.44225,16.40124,246.057,-39.87821,-21.50861
148,299,51671,80,b'GALAXY',b'STARFORMING',0.1742985,180.8438,38.21346,17.97857,76.42622,-30.97322,-11.42532
149,299,51671,173,b'GALAXY',b'',0.08937021,41.70065,15.12687,14.68917,31.58872,-1.857434,-1.443321
150,299,51671,296,b'GALAXY',b'STARFORMING',0.0524129,199.1016,54.91555,17.3365,52.65525,-21.19498,-5.459404
151,299,51671,349,b'GALAXY',b'STARBURST',0.04838688,553.0785,148.8017,65.46892,178.0667,-38.04314,-12.26557
152,299,51671,406,b'GALAXY',b'STARFORMING',0.07823505,197.6192,45.20323,13.75712,75.66105,-17.7632,-6.864699
153,299,51671,603,b'GALAXY',b'STARFORMING',0.07767462,381.0625,67.66933,83.90578,175.4861,-19.28379,-9.039083
154,300,51943,141,b'GALAXY',b'AGN',0.1019811,55.91959,15.81504,31.18886,49.38513,-4.747103,-4.104105
155,300,51943,187,b'GALAXY',b'',0.1016245,54.51436,17.75189,18.86671,22.02876,-4.986022,-1.443223
156,300,51666,197,b'GALAXY',b'',0.1016339,54.7355,15.49465,17.68306,23.81511,-5.096001,-1.600671
157,300,51943,303,b'GALAXY',b'STARFORMING',0.1017715,314.3241,67.23994,27.35312,173.1327,-13.05034,-7.11435
158,300,51943,330,b'GALAXY',b'STARFORMING',0.1802806,184.8899,35.56776,20.16766,66.74608,-20.18645,-6.582107
159,300,51666,482,b'GALAXY',b'STARFORMING',0.1287592,188.8508,53.98424,27.78849,78.32054,-15.29875,-6.403128
160,301,51641,94,b'GALAXY',b'STARBURST',0.1455748,268.2431,71.43781,81.36987,74.68159,-65.13844,-17.58391
161,301,51641,515,b'GALAXY',b'STARFORMING',0.03288526,691.319,156.6984,40.29736,284.9478,-16.9251,-6.96782
162,301,51942,531,b'GALAXY',b'STARBURST',0.12109,2392.838,719.3672,3653.109,114.5143,-865.0338,-45.21291
163,301,51942,533,b'GALAXY',b'STARFORMING',0.03303818,152.434,47.4057,82.12362,57.22064,-6.91977,-2.610041
164,301,51942,540,b'GALAXY',b'STARFORMING',0.03225998,169.231,51.96247,50.78434,38.6664,-34.003,-7.053427
165,301,51641,593,b'GALAXY',b'STARFORMING',0.08504637,431.6894,89.35278,29.75839,204.3828,-16.69125,-7.999804
166,302,51688,35,b'GALAXY',b'STARFORMING',0.02502531,86.93996,13.62428,5.083721,30.75243,-33.43659,-12.12419
167,302,51688,48,b'GALAXY',b'STARFORMING',0.08317864,163.6977,37.40413,18.0964,72.66125,-10.4314,-4.682117
168,302,51688,72,b'GALAXY',b'STARFORMING',0.02516963,127.4933,30.16739,58.38974,59.30067,-10.37241,-4.941474
169,302,51688,135,b'GALAXY',b'AGN',0.05477432,65.16795,21.26036,77.33398,86.17223,-3.165802,-4.145672
170,302,51688,380,b'GALAXY',b'STARFORMING',0.03156494,906.6846,221.1101,55.16906,409.8623,-24.56288,-11.35518
171,302,51688,507,b'GALAXY',b'STARBURST',0.02520476,421.8702,123.8193,141.9031,73.049,-41.70171,-6.817775
172,303,51615,304,b'GALAXY',b'STARFORMING',0.02559116,455.7794,57.80517,32.0589,201.5906,-11.4764,-5.132027
173,303,51615,420,b'GALAXY',b'AGN',0.05287682,949.9895,253.78,2137.188,965.9279,-27.54246,-27.14191
174,303,51615,562,b'GALAXY',b'AGN',0.05436381,112.4167,28.27324,83.44882,77.45604,-6.492848,-4.667894
175,303,51615,566,b'GALAXY',b'STARBURST',0.05050797,366.66,101.5134,223.301,32.92305,-42.28751,-4.2358
176,303,51615,608,b'GALAXY',b'STARBURST',0.02594488,1900.594,407.7772,126.405,762.0455,-60.86585,-24.60892
177,304,51609,34,b'GALAXY',b'STARBURST',0.1058703,1330.651,457.5898,2434.502,31.36437,-572.2219,-11.74057
178,304,51957,57,b'GALAXY',b'AGN',0.05060681,135.5708,27.76514,28.23512,94.43839,-10.62701,-7.422099
179,304,51609,94,b'GALAXY',b'STARFORMING',0.1501091,194.5686,48.14622,14.28109,70.83385,-18.13761,-6.501244
180,304,51957,252,b'GALAXY',b'STARFORMING',0.04860957,258.4616,78.42908,60.16679,61.50045,-27.07147,-6.333009
181,304,51957,322,b'GALAXY',b'STARFORMING',0.05476438,273.3344,64.24342,28.3259,123.9055,-16.08648,-7.274312
182,304,51609,393,b'GALAXY',b'STARFORMING',0.05380109,113.3289,24.81693,12.39899,52.58467,-5.168605,-2.28861
183,304,51957,529,b'GALAXY',b'STARFORMING',0.1031745,312.9258,54.62397,19.16278,164.6392,-23.73493,-12.37644
184,305,51613,4,b'GALAXY',b'STARFORMING',0.03033645,173.3457,57.86213,151.6366,12.17892,-47.81017,-2.930879
185,305,51613,110,b'GALAXY',b'STARFORMING',0.1030864,224.2802,40.28184,19.25599,88.70796,-23.79936,-7.94093
186,305,51613,184,b'GALAXY',b'STARFORMING',0.1699854,183.7831,40.85178,78.45264,117.7108,-13.55149,-9.307886
187,305,51613,257,b'GALAXY',b'STARBURST',0.08392204,497.1877,145.4722,96.50123,155.3289,-56.26821,-17.80044
188,305,51613,455,b'GALAXY',b'STARFORMING',0.08408643,133.4281,24.91071,12.25316,79.75276,-8.670408,-5.260828
189,306,51690,153,b'GALAXY',b'STARFORMING',0.0359001,77.58023,19.96532,10.77701,21.75052,-12.57762,-3.230212
190,306,51690,267,b'GALAXY',b'STARBURST',0.1181929,370.7278,85.36255,41.5952,111.3455,-43.25488,-13.49924
191,306,51637,282,b'GALAXY',b'',0.1319543,51.32603,21.24508,25.83443,40.82623,-2.794473,-2.304298
192,306,51637,304,b'GALAXY',b'STARFORMING',0.04957435,151.7595,48.0679,44.5616,26.00276,-28.21894,-5.067293
193,306,51690,503,b'GALAXY',b'STARBURST',0.05490401,1486.845,480.2494,1664.147,131.2386,-153.4081,-14.05344
194,306,51690,563,b'GALAXY',b'STARFORMING',0.06986688,476.4252,105.1866,26.5767,179.428,-30.51138,-11.44353
195,307,51663,185,b'GALAXY',b'STARBURST',0.006427905,2653.327,586.7245,459.6169,561.17,-142.6583,-30.79046
196,308,51662,11,b'GALAXY',b'AGN',0.0831912,171.1058,30.86351,57.10948,172.0515,-9.366429,-8.99538
197,308,51662,61,b'GALAXY',b'STARFORMING',0.02677014,68.96588,18.6615,21.97195,9.876639,-13.74437,-1.807206
198,308,51662,64,b'GALAXY',b'AGN',0.07904557,134.4285,30.30058,286.3607,240.4978,-5.561708,-9.18531
199,308,51662,312,b'GALAXY',b'AGN',0.1988809,66.69991,15.63562,88.60818,98.50909,-8.186055,-10.3585
200,309,51994,121,b'GALAXY',b'STARFORMING',0.1629576,296.0202,63.14348,21.19608,100.1634,-33.39634,-10.72849
201,309,51994,126,b'GALAXY',b'STARBURST',0.07642194,468.5609,119.6736,31.05967,159.1629,-38.85368,-12.95985
202,309,51666,131,b'GALAXY',b'STARFORMING',0.08550294,223.3525,57.53795,26.15666,75.61916,-24.70021,-8.286016
203,309,51994,482,b'GALAXY',b'',0.04347613,28.52169,10.31949,22.95508,17.62563,-1.09731,-0.8439305
204,310,51990,29,b'GALAXY',b'STARBURST',0.08766133,630.4294,128.076,40.04697,228.465,-57.3888,-21.25855
205,310,51990,137,b'GALAXY',b'AGN',0.03689335,71.86543,21.18436,45.19739,52.3513,-2.203943,-1.798797
206,310,51990,271,b'GALAXY',b'STARFORMING',0.04078309,292.7369,68.59924,42.67859,184.6159,-7.809845,-4.794821
207,310,51990,449,b'GALAXY',b'STARFORMING',0.07793562,147.227,38.22621,13.30796,50.51912,-13.68239,-4.601139
208,311,51665,280,b'GALAXY',b'',0.2750852,303.5974,82.45628,245.3384,35.31672,-144.7722,-14.3474
209,311,51665,387,b'GALAXY',b'STARBURST',0.05858022,803.8669,186.2262,46.10387,286.6181,-53.98413,-19.62451
210,311,51665,492,b'GALAXY',b'STARFORMING',0.07243982,80.02962,24.05877,10.61926,19.89054,-20.97093,-5.253022
211,311,51665,547,b'GALAXY',b'AGN',0.1245088,76.02194,29.05838,71.47565,83.23118,-6.065678,-6.721554
212,311,51665,572,b'GALAXY',b'STARFORMING',0.09663338,710.4593,135.7848,26.3858,279.4372,-38.35411,-15.15636
213,311,51665,585,b'GALAXY',b'STARFORMING',0.09481669,114.352,26.71675,10.86144,39.88747,-14.5169,-5.27636
214,312,51689,70,b'GALAXY',b'STARBURST',0.0370101,439.2515,145.1115,170.3793,79.80735,-41.79011,-7.439692
215,312,51689,380,b'GALAXY',b'STARFORMING',0.02840132,150.7283,30.77091,31.71997,30.05334,-19.09067,-3.613568
216,312,51689,407,b'GALAXY',b'STARFORMING',0.1088594,609.713,134.6367,20.48422,212.5944,-35.03397,-12.21832
217,312,51689,633,b'GALAXY',b'STARFORMING',0.05708955,115.7337,35.07372,31.19302,27.53307,-23.61421,-5.711996
218,313,51673,390,b'GALAXY',b'STARFORMING',0.05311313,166.5041,50.2047,76.5904,20.94841,-27.78852,-3.531723
219,313,51673,404,b'GALAXY',b'STARBURST',0.1182168,579.3058,155.4021,39.27252,197.0699,-71.11304,-23.77012
220,314,51641,362,b'GALAXY',b'STARFORMING',0.04992866,95.74773,27.57983,16.03505,26.7452,-15.44344,-3.567005
