,plate,mjd,fiberid,class,subclass,z,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,h_alpha_eqw,nii_6584_eqw
25552,742,52263,367,b'GALAXY',b'STARFORMING',0.08260229,234.005,53.52693,21.48413,84.21873,-17.14132,-6.25079
25553,743,52262,15,b'GALAXY',b'STARFORMING',0.06827997,168.2902,32.42574,20.5007,44.02357,-19.42972,-5.469902
25554,743,52262,101,b'GALAXY',b'STARBURST',0.1125056,625.9719,169.6143,142.0244,177.887,-52.15954,-16.56379
25555,743,52262,240,b'GALAXY',b'STARFORMING',0.03554045,1901.91,375.9838,197.6332,993.0487,-27.11331,-14.21054
25556,744,52251,260,b'GALAXY',b'STARBURST',0.08127496,469.6111,125.2291,34.38068,155.3633,-41.90766,-14.11334
25557,745,52258,246,b'GALAXY',b'',0.1080155,75.42319,21.32705,14.93917,41.86194,-5.960905,-3.25275
25558,745,52258,344,b'GALAXY',b'STARFORMING',0.05062191,190.2832,51.8581,75.23614,31.26148,-28.40625,-4.766165
25559,745,52258,390,b'GALAXY',b'STARFORMING',0.05014141,203.8005,54.61302,28.23475,72.39188,-18.6615,-6.502846
25560,746,52238,226,b'GALAXY',b'STARFORMING',0.0133305,229.5135,88.50619,120.3856,21.3826,-39.25915,-3.779991
25561,747,52234,113,b'GALAXY',b'STARBURST',0.06799478,1228.932,276.3116,82.88117,490.0591,-76.71564,-30.87573
25562,748,52233,85,b'GALAXY',b'STARFORMING',0.07767328,430.0755,92.38282,23.5495,156.0867,-28.05583,-10.14657
25563,748,52233,234,b'GALAXY',b'STARBURST',0.06497003,566.6633,112.0453,69.99094,200.0976,-43.78942,-15.34468
25564,749,52226,39,b'GALAXY',b'STARFORMING',0.06807571,113.4594,31.74511,11.07638,37.18138,-21.68035,-6.53886
25565,749,52226,369,b'GALAXY',b'STARBURST',0.06616148,519.8167,99.44027,17.42977,284.3351,-44.02035,-24.09078
25566,749,52226,609,b'GALAXY',b'STARFORMING',0.03796987,305.1953,69.55132,19.77146,138.1534,-24.81876,-11.11843
25567,750,52235,4,b'GALAXY',b'AGN',0.1092425,500.152,119.0677,706.3923,232.1102,-38.46978,-17.08204
25568,750,52235,262,b'GALAXY',b'STARFORMING',0.06304207,103.1757,25.66795,25.30033,18.96023,-19.12961,-3.761626
25569,750,52235,289,b'GALAXY',b'STARFORMING',0.07992373,130.4099,37.08566,20.4224,37.78286,-29.5244,-8.250802
25570,750,52235,575,b'GALAXY',b'STARFORMING',0.1187842,164.8725,32.60715,12.25345,77.26575,-11.00688,-5.344107
25571,751,52251,72,b'GALAXY',b'STARFORMING',0.134353,212.705,45.35889,15.46935,62.77077,-31.29801,-8.76788
25572,751,52251,183,b'GALAXY',b'STARFORMING',0.08365364,98.96077,19.39787,15.18974,27.28566,-15.50847,-4.139874
25573,751,52251,382,b'GALAXY',b'STARFORMING',0.1190691,249.6467,52.17936,23.88852,115.6373,-24.36318,-11.18676
25574,752,52251,428,b'GALAXY',b'STARBURST',0.00626879,444.5678,148.7737,425.7809,12.9598,-147.1595,-4.42408
25575,753,52233,62,b'GALAXY',b'STARBURST',0.1556914,538.8396,111.3771,30.48133,196.1702,-67.01907,-24.15991
25576,753,52233,74,b'GALAXY',b'AGN',0.2341715,130.8137,35.1012,336.9412,155.5746,-12.36306,-14.00644
25577,754,52232,69,b'GALAXY',b'STARFORMING',0.05094141,128.3589,38.84204,48.56966,24.894,-25.24145,-5.655094
25578,754,52232,528,b'GALAXY',b'STARFORMING',0.02280271,59.08358,23.3571,18.68858,7.870496,-13.18843,-1.900617
25579,755,52235,240,b'GALAXY',b'STARFORMING',0.0604241,99.44606,27.58058,13.47903,25.08953,-13.22843,-3.518085
25580,756,52577,28,b'GALAXY',b'STARFORMING',0.09446851,268.7711,56.20304,23.5645,84.65907,-34.15964,-11.04807
25581,756,52577,102,b'GALAXY',b'STARBURST',0.04950601,512.2852,91.48248,20.53671,188.6633,-39.05172,-14.24328
25582,756,52577,363,b'GALAXY',b'STARFORMING',0.08380334,126.4245,31.59804,11.67263,44.65226,-14.1989,-4.836044
25583,756,52577,587,b'GALAXY',b'STARFORMING',0.08282696,200.5254,56.77754,41.5566,51.56888,-40.83194,-10.01816
25584,757,52238,34,b'GALAXY',b'STARFORMING',0.01748764,144.107,44.99108,54.10545,30.34277,-13.81717,-2.589301
25585,757,52238,222,b'GALAXY',b'STARFORMING',0.1428862,210.0479,45.91308,19.88144,87.59099,-19.9737,-8.542686
25586,757,52238,313,b'GALAXY',b'AGN',0.07191794,16.88644,14.10151,18.57545,10.61,-1.453389,-0.9119134
25587,757,52238,325,b'GALAXY',b'STARFORMING',0.07776111,334.5419,77.83086,15.23806,121.0912,-25.73072,-9.445268
25588,757,52238,598,b'GALAXY',b'STARFORMING',0.0629444,94.50163,22.4317,11.45082,30.3648,-19.47945,-6.403148
25589,758,52253,56,b'GALAXY',b'STARFORMING',0.0218943,117.4664,31.30394,30.03522,28.6604,-12.89256,-3.102496
25590,758,52253,169,b'GALAXY',b'AGN',0.03289777,145.0133,30.97341,42.3419,122.8466,-4.795583,-4.034459
